Origine tempi: 2015-12-02 18.19.19	intervallo di tempo: 0.010000 s
   0.005   0.001
   0.005   0.001
   0.005   0.001
   0.005   0.001
   0.005   0.001
   0.005   0.001
   0.005   0.001
   0.005   0.001
   0.005   0.001
   0.005   0.001
   0.005   0.001
   0.005   0.001
   0.005   0.001
   0.005   0.001
   0.005   0.001
   0.005   0.001
   0.005   0.001
   0.005   0.001
   0.005   0.001
   0.005   0.001
   0.005   0.001
   0.005   0.001
   0.005   0.001
   0.005   0.001
   0.005   0.001
   0.005   0.001
   0.005   0.001
   0.005   0.001
   0.005   0.001
   0.005   0.001
   0.005   0.001
   0.005   0.001
   0.005   0.001
   0.005   0.001
   0.005   0.001
   0.005   0.001
   0.005   0.001
   0.005   0.001
   0.005   0.001
   0.005   0.001
   0.005   0.001
   0.005   0.001
   0.005   0.001
   0.005   0.001
   0.005   0.001
   0.005   0.001
   0.005   0.001
   0.005   0.001
   0.005   0.001
   0.005   0.001
   0.005   0.001
   0.005   0.001
   0.005   0.001
   0.005   0.001
   0.005   0.001
   0.005   0.001
   0.005   0.001
   0.005   0.001
   0.005   0.001
   0.005   0.001
   0.005   0.001
   0.005   0.001
   0.005   0.001
   0.005   0.001
   0.005   0.001
   0.005   0.001
   0.005   0.001
   0.005   0.001
   0.005   0.001
   0.005   0.001
   0.005   0.001
   0.005   0.001
   0.005   0.001
   0.005   0.001
   0.005   0.001
   0.005   0.001
   0.005   0.001
   0.005   0.001
   0.005   0.001
   0.005   0.001
   0.005   0.001
   0.005   0.001
   0.005   0.001
   0.005   0.001
   0.005   0.001
   0.005   0.001
   0.005   0.001
   0.005   0.001
   0.005   0.001
   0.005   0.001
   0.005   0.001
   0.005   0.001
   0.005   0.001
   0.005   0.001
   0.005   0.001
   0.005   0.001
   0.005   0.001
   0.005   0.001
   0.005   0.001
   0.005   0.001
   0.005   0.001
   0.005   0.001
   0.005   0.001
   0.005   0.001
   0.005   0.001
   0.005   0.001
   0.005   0.001
   0.005   0.001
   0.005   0.001
   0.005   0.001
   0.005   0.001
   0.005   0.001
   0.005   0.001
   0.005   0.001
   0.005   0.001
   0.005   0.001
   0.005   0.001
   0.005   0.001
   0.005   0.001
   0.005   0.001
   0.005   0.001
   0.005   0.001
   0.005   0.001
   0.005   0.001
   0.005   0.001
   0.005   0.001
   0.005   0.001
   0.005   0.001
   0.005   0.001
   0.005   0.001
   0.005   0.001
   0.005   0.001
   0.005   0.001
   0.005   0.001
   0.005   0.001
   0.005   0.001
   0.005   0.001
   0.005   0.001
   0.005   0.001
   0.005   0.001
   0.005   0.001
   0.005   0.001
   0.005   0.001
   0.005   0.001
   0.005   0.001
   0.005   0.001
   0.005   0.001
   0.005   0.001
   0.005   0.001
   0.005   0.001
   0.005   0.001
   0.005   0.001
   0.005   0.001
   0.005   0.001
   0.004   0.001
   0.004   0.001
   0.004   0.001
   0.003   0.001
   0.003   0.001
   0.003   0.001
   0.003   0.001
   0.003   0.001
   0.003   0.001
   0.003   0.001
   0.003   0.001
   0.003   0.001
   0.003   0.001
   0.003   0.001
   0.003   0.001
   0.003   0.001
   0.003   0.001
   0.003   0.000
   0.003   0.000
   0.003   0.000
   0.003   0.001
   0.003   0.000
   0.003   0.001
   0.003   0.001
   0.003   0.001
   0.003   0.001
   0.003   0.001
   0.003   0.001
   0.003   0.001
   0.003   0.001
   0.003   0.001
   0.003   0.001
   0.003   0.001
   0.003   0.001
   0.003   0.001
   0.003   0.001
   0.003   0.001
   0.003   0.001
   0.003   0.001
   0.003   0.001
   0.003   0.001
   0.003   0.001
   0.003   0.001
   0.003   0.001
   0.004   0.001
   0.004   0.001
   0.004   0.001
   0.004   0.001
   0.004   0.001
   0.004   0.001
   0.004   0.001
   0.004   0.001
   0.004   0.001
   0.004   0.001
   0.004   0.001
   0.004   0.001
   0.003   0.001
   0.003   0.001
   0.003   0.001
   0.003   0.001
   0.003   0.001
   0.003   0.001
   0.003   0.001
   0.003   0.001
   0.003   0.001
   0.003   0.001
   0.003   0.001
   0.003   0.001
   0.003   0.001
   0.003   0.001
   0.003   0.001
   0.003   0.001
   0.003   0.001
   0.003   0.001
   0.003   0.001
   0.003   0.001
   0.003   0.001
   0.003   0.001
   0.003   0.001
   0.003   0.001
   0.003   0.001
   0.003   0.001
   0.002   0.001
   0.003   0.001
   0.003   0.001
   0.002   0.000
   0.002   0.001
   0.002   0.001
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.001
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.001
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.001
   0.002   0.001
   0.002   0.000
   0.002   0.001
   0.002   0.000
   0.003   0.001
   0.003   0.000
   0.003   0.001
   0.003   0.000
   0.003   0.001
   0.003   0.001
   0.003   0.001
   0.003   0.001
   0.003   0.001
   0.003   0.001
   0.003   0.001
   0.003   0.001
   0.003   0.001
   0.003   0.001
   0.003   0.001
   0.003   0.001
   0.003   0.001
   0.003   0.001
   0.003   0.001
   0.003   0.001
   0.003   0.001
   0.003   0.001
   0.003   0.001
   0.003   0.001
   0.003   0.001
   0.003   0.001
   0.003   0.001
   0.003   0.001
   0.003   0.001
   0.003   0.001
   0.003   0.001
   0.003   0.001
   0.003   0.001
   0.003   0.001
   0.003   0.001
   0.003   0.001
   0.003   0.001
   0.003   0.001
   0.003   0.001
   0.003   0.001
   0.003   0.001
   0.003   0.001
   0.003   0.001
   0.003   0.001
   0.003   0.001
   0.003   0.001
   0.003   0.001
   0.003   0.001
   0.003   0.001
   0.003   0.000
   0.003   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.001   0.000
   0.001   0.000
   0.002   0.000
   0.001   0.000
   0.001   0.000
   0.001   0.000
   0.001   0.000
   0.001   0.000
   0.001   0.000
   0.002   0.000
   0.001   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.001   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.001
   0.002   0.001
   0.003   0.000
   0.003   0.001
   0.003   0.001
   0.003   0.001
   0.003   0.001
   0.003   0.001
   0.003   0.001
   0.003   0.001
   0.003   0.001
   0.003   0.001
   0.003   0.001
   0.003   0.001
   0.003   0.001
   0.003   0.001
   0.003   0.001
   0.003   0.001
   0.003   0.001
   0.003   0.001
   0.003   0.001
   0.003   0.001
   0.003   0.001
   0.003   0.001
   0.003   0.001
   0.003   0.001
   0.003   0.001
   0.003   0.001
   0.003   0.001
   0.003   0.001
   0.003   0.000
   0.003   0.001
   0.002   0.001
   0.002   0.001
   0.002   0.001
   0.002   0.000
   0.002   0.001
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
   0.002   0.000
